trace,mode,include_hit_miss,include_cache,include_candidate,include_topk,include_avgtopk,include_request,rl_state_use_missratio,miss_ratio,byte_miss_ratio,throughput_mqps,exit_code,run_timestamp,base_config
meta_reag,compound=1,0,1,1,0,0,1,0,0.368146,0.225221,0.01,0,bestcfg_statecombo_3t_3m_20260207_000001__meta_reag__c022_002_r01,LOH_SCORE_USE_COMPOUND=1 LOH_SCORE_USE_IRT=1 LOH_USE_SOFTMAX=1 LOH_USE_HEURISTIC_SIGNS=0
meta_reag,compound=1,0,1,0,0,1,0,0,0.368149,0.224757,0.01,0,bestcfg_statecombo_3t_3m_20260207_000001__meta_reag__c015_002_r01,LOH_SCORE_USE_COMPOUND=1 LOH_SCORE_USE_IRT=1 LOH_USE_SOFTMAX=1 LOH_USE_HEURISTIC_SIGNS=0
meta_reag,compound=1,1,1,0,0,0,0,0,0.368151,0.224811,0.01,0,bestcfg_statecombo_3t_3m_20260207_000001__meta_reag__c037_002_r01,LOH_SCORE_USE_COMPOUND=1 LOH_SCORE_USE_IRT=1 LOH_USE_SOFTMAX=1 LOH_USE_HEURISTIC_SIGNS=0
meta_reag,compound=1,1,1,1,1,0,1,0,0.368151,0.225535,0.01,0,bestcfg_statecombo_3t_3m_20260207_000001__meta_reag__c047_002_r01,LOH_SCORE_USE_COMPOUND=1 LOH_SCORE_USE_IRT=1 LOH_USE_SOFTMAX=1 LOH_USE_HEURISTIC_SIGNS=0
meta_reag,compound=1,1,0,0,1,0,0,0,0.368156,0.225366,0.01,0,bestcfg_statecombo_3t_3m_20260207_000001__meta_reag__c026_002_r01,LOH_SCORE_USE_COMPOUND=1 LOH_SCORE_USE_IRT=1 LOH_USE_SOFTMAX=1 LOH_USE_HEURISTIC_SIGNS=0
meta_reag,compound=1,1,1,0,0,1,1,0,0.368158,0.225139,0.01,0,bestcfg_statecombo_3t_3m_20260207_000001__meta_reag__c042_002_r01,LOH_SCORE_USE_COMPOUND=1 LOH_SCORE_USE_IRT=1 LOH_USE_SOFTMAX=1 LOH_USE_HEURISTIC_SIGNS=0
meta_reag,compound=1,0,0,1,0,1,1,0,0.368159,0.225301,0.01,0,bestcfg_statecombo_3t_3m_20260207_000001__meta_reag__c012_002_r01,LOH_SCORE_USE_COMPOUND=1 LOH_SCORE_USE_IRT=1 LOH_USE_SOFTMAX=1 LOH_USE_HEURISTIC_SIGNS=0
meta_reag,compound=1,1,0,1,0,0,1,0,0.368159,0.225193,0.01,0,bestcfg_statecombo_3t_3m_20260207_000001__meta_reag__c034_002_r01,LOH_SCORE_USE_COMPOUND=1 LOH_SCORE_USE_IRT=1 LOH_USE_SOFTMAX=1 LOH_USE_HEURISTIC_SIGNS=0
meta_reag,compound=1,1,0,1,1,0,0,0,0.368159,0.2252,0.01,0,bestcfg_statecombo_3t_3m_20260207_000001__meta_reag__c032_002_r01,LOH_SCORE_USE_COMPOUND=1 LOH_SCORE_USE_IRT=1 LOH_USE_SOFTMAX=1 LOH_USE_HEURISTIC_SIGNS=0
meta_reag,compound=1,0,0,0,0,0,1,0,0.368162,0.22514,0.01,0,bestcfg_statecombo_3t_3m_20260207_000001__meta_reag__c004_002_r01,LOH_SCORE_USE_COMPOUND=1 LOH_SCORE_USE_IRT=1 LOH_USE_SOFTMAX=1 LOH_USE_HEURISTIC_SIGNS=0
meta_reag,compound=1,1,1,0,1,0,1,0,0.368162,0.224853,0.01,0,bestcfg_statecombo_3t_3m_20260207_000001__meta_reag__c041_002_r01,LOH_SCORE_USE_COMPOUND=1 LOH_SCORE_USE_IRT=1 LOH_USE_SOFTMAX=1 LOH_USE_HEURISTIC_SIGNS=0
meta_reag,compound=1,0,0,1,1,0,1,0,0.368163,0.224907,0.01,0,bestcfg_statecombo_3t_3m_20260207_000001__meta_reag__c011_002_r01,LOH_SCORE_USE_COMPOUND=1 LOH_SCORE_USE_IRT=1 LOH_USE_SOFTMAX=1 LOH_USE_HEURISTIC_SIGNS=0
meta_reag,compound=1,0,1,0,1,0,1,0,0.368165,0.225503,0.01,0,bestcfg_statecombo_3t_3m_20260207_000001__meta_reag__c017_002_r01,LOH_SCORE_USE_COMPOUND=1 LOH_SCORE_USE_IRT=1 LOH_USE_SOFTMAX=1 LOH_USE_HEURISTIC_SIGNS=0
meta_reag,compound=1,0,1,1,1,0,1,0,0.368165,0.224811,0.01,0,bestcfg_statecombo_3t_3m_20260207_000001__meta_reag__c023_002_r01,LOH_SCORE_USE_COMPOUND=1 LOH_SCORE_USE_IRT=1 LOH_USE_SOFTMAX=1 LOH_USE_HEURISTIC_SIGNS=0
meta_reag,compound=1,0,0,0,0,1,0,0,0.368167,0.225468,0.01,0,bestcfg_statecombo_3t_3m_20260207_000001__meta_reag__c003_002_r01,LOH_SCORE_USE_COMPOUND=1 LOH_SCORE_USE_IRT=1 LOH_USE_SOFTMAX=1 LOH_USE_HEURISTIC_SIGNS=0
